id,name,description,creator_name,creator_type,visits,favoritedCount,playing,maxPlayers,created,updated
7378605382,[SCOUT SHEDLETSKY] Untitled Forsaken Engine,"What would be like if 30 players would be able to fight with forsaken characters?

This is a solo project made for fun. Play as survivors or killers with uhh characters like:
Noob, Shedletsky, Guest1337, Elliot, Chance, Builderman, Martial Artist Two Time, Jason, C00lKidd, 1x1x1x1, and John Doe and Noli.

Use FREE published skins and emotes.

ANY ASSETS USED WITHOUT PERM CONTACT!

Press G to emote.

CREDITS - FORSAKEN DEV TEAM
- AndrewD0tWeb (animations)
- Exedious (music)
- kaiserdegurechaff (misc)
- hytoko and basil (owner people main assets aswell)
- dexune and keyafterkey (music)

- PLEASE SPARE OUR GAME ITS NOT A FORSAKEN UNCOPYLOCK :(

NOTICE
All code was fully remade from scratch.
All skins are not stolen rigs and are with UGC.
This game is PRONE to bugs, expect them,
I can't control teaming and toxicity stop disliking for that!! :D

TAGS
Forsaken, Coolkid, Bluudude, Shedletsky, 007n7, Two Time, Bluudud, c00lkid,
untitled, untitled forsaken, untitled forsaken engine, engine",HooHaughYahaa,User,15131424,28707,2369,25,2025-03-15T00:36:45.17Z,2025-08-19T10:33:11.153Z
8349865150,❄️ MMV ༷,"Can you solve the Mystery and survive each round?

INNOCENTS: Run and hide from the Murderer. Use your detective skills to expose the Murderer.
SHERIFF: Work with the Innocents; you are the only one with a weapon who can take down the Murderer. 
MURDERER: Eliminate EVERYONE. Don't get shot by the sheriff.

Enjoy your favorite MM2 weapons!",galaxykitten385,User,10314663,249763,19346,12,2025-08-05T00:26:05.263Z,2025-08-14T17:24:59.417Z
8132659739,🧠 Brainrot Modded,,experience developing group,Group,9113254,757434,16113,8,2025-07-11T16:29:42.21Z,2025-08-19T17:58:12.3298692Z
7541395924,[🌺]Build An Island! 🏝️,"Join community server for codes!

🪓Collect resources and build your very own island from the ground up!

🌽 Grow crops, export goods, and hire workers all on your island!

⏰ Workers work while you are offline!

💙Play with friends for huge perks!",TJim's Studio,Group,109854558,2329640,6823,6,2025-04-15T01:20:24.107Z,2025-08-18T19:32:37.8835582Z
7946839417,[DIRGAHAYU!]Mount Daun,"Difficulty: Medium

🚧 This game is still in development (BETA)!
We are actively updating the game regularly and are constantly listening to your feedback. Some features may not be perfect yet, and bugs may occur.
This mountain is inspired by real life, but the path is not what you think. Are you ready to face the challenge on a track that has never existed in the real world?”

Update Dirgahayu:
- Changing the atmosphere of climbing on Independence Day~

Known Bug Notes:
- ⚠️ Summits sometimes disappear, contact the admin to return the lost summit, along with the proof

🎯 We are constantly monitoring and will fix any existing bugs soon. Thank you for your support!


Help us with this:
ungu.in/MountDaunFeedback",bagusgokil,User,27565470,27438,4299,50,2025-06-19T06:05:24.71Z,2025-08-19T22:42:32.5725847Z
7990186056,Build a Tower,"Welcome to Build a Tower

🧱 Buy Blocks and Build
• Get the rarest blocks and build the tallest tower!

🚀 Upgrade Your Tower
• Get more stages, higher item limit, and cash boost!

💰 Earn Offline Cash
• Your tower keeps generating money, even while you're gone!

💾 All your progress saves!",Pink Heart Games,Group,91287943,83816,12111,6,2025-06-24T16:23:45.123Z,2025-08-18T05:46:57.597Z
3808081382,The Strongest Battlegrounds,"Train & fight others to be the strongest.

📱💻🎮 You can play on any device. (CONSOLE, PC, MOBILE)
⭐ Please consider liking and favoriting the game for more updates.

🖥️ Controls
G - ultimate mode
F - block
Q - dash
Q (while ragdolled) - ragdoll cancel/evasive
Double Tap W - run
Left Click - punch
B - emote wheel

🏆 ""Best Fighting Experience"" Innovation Awards '24",Yielding Arts,Group,13890772205,5814885,107927,15,2022-08-02T09:26:24.09Z,2025-08-19T11:58:40.537Z
8066283370,🥭Build a Zoo[Magic Fruit],"UPD 19(Aug 15):

🦖 Dinosaur Skin Fruit: Unlock exclusive dinosaur looks and boost your coin gains!

✨ Dinosaur Enchantment Fruit: New enchantment fruits for your pets!

🦋 New Pet: Introducing a butterfly pet!

💰 Earnings Boost: Increased coin rewards for enchanted dinosaur pets!

⚙️ Game Optimization: Various improvements for smoother gameplay.",Century Farmers,Group,52195491,303548,21579,8,2025-07-04T06:23:05.963Z,2025-08-19T11:36:57.9248268Z
7892942274,Grow a Crypto Farm,"💬Welcome to Grow a Crypto Farm! 💻⛏️

Buy powerful machines, place them on your plot, and watch the money roll in!

🔧 How To Play:
• 🛒 Buy Machines from the Shop
• 🧱 Place them in your base
• ⚡ Power them up and start mining Crypto!
• 💰 Collect crypto regularly, and sell it for cash to expand your operation
• 🏆 Upgrade your machines, unlock new tech, and dominate the crypto world!

Inspired by Build a Scam Empire!

Remember, your farm literally earns while you are offline ⭐",Tenacious Games,Group,11449223,341053,2532,8,2025-06-11T18:02:49.517Z,2025-08-16T21:36:41.357Z
3913007563,The Battle Bricks,"[UPDATE: BOOSTER PACK 4]

The Battle Bricks is a single-player Tower-Defense Styled game where you send units to fight against enemies who are able to fight back. Protect your base and send your units to destroy the enemy base. Obtain new units during your progression while you upgrade your units and base to become stronger so you're able to conquer through chapters!

This game is inspired by The Battle Cats.",Tumore,Group,25649558,124086,537,1,2022-09-06T01:06:28.32Z,2025-08-09T15:57:42.177Z
